experiment_name,case_id,round_id,turn_id,secret_word,imposter_was,candidate_agent_id,candidate_clue,is_imposter,all_clues_json,candidate_turn_position,embedding_similarity_to_others_mean,embedding_similarity_to_others_std,embedding_similarity_rank_low_to_high,embedding_similarity_to_previous_mean
llm_qwen7b_few_shot_20260710T201518Z,0,545d9ed5-3811-4f61-a788-ba2514b4a9db,497aa51e-12bc-41c6-8b04-2a9487376897,unc chapel hill,Agent D,agent_b,academic ivy,0,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""academic ivy""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""compass direction""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""not flat terrain""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""research triangle park""}]",0.0,0.34736907445082954,0.018443887018185806,1.0,0.0
llm_qwen7b_few_shot_20260710T201518Z,0,545d9ed5-3811-4f61-a788-ba2514b4a9db,497aa51e-12bc-41c6-8b04-2a9487376897,unc chapel hill,Agent D,agent_d,compass direction,1,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""academic ivy""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""compass direction""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""not flat terrain""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""research triangle park""}]",1.0,0.3878010812950625,0.036589946651160714,3.0,0.36992004307641646
llm_qwen7b_few_shot_20260710T201518Z,0,545d9ed5-3811-4f61-a788-ba2514b4a9db,497aa51e-12bc-41c6-8b04-2a9487376897,unc chapel hill,Agent D,agent_a,not flat terrain,0,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""academic ivy""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""compass direction""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""not flat terrain""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""research triangle park""}]",2.0,0.3829082943931839,0.03999162820787026,2.0,0.39311972697139275
llm_qwen7b_few_shot_20260710T201518Z,0,545d9ed5-3811-4f61-a788-ba2514b4a9db,497aa51e-12bc-41c6-8b04-2a9487376897,unc chapel hill,Agent D,agent_c,research triangle park,0,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""academic ivy""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""compass direction""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""not flat terrain""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""research triangle park""}]",3.0,0.3473054521262746,0.016269085524602083,0.0,0.3473054521262746
llm_qwen7b_few_shot_20260710T201518Z,1,b67f2d55-441b-4e12-be03-a1d003744ef5,f5cefc4a-8ef3-4a9c-964b-dc4c0a550a5b,day,Agent B,agent_b,sunbeam entry,1,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""sunbeam entry""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""morning light""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""dry clothes""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""beach sand""}]",0.0,0.37915445534752373,0.09351268545164111,2.0,0.0
llm_qwen7b_few_shot_20260710T201518Z,1,b67f2d55-441b-4e12-be03-a1d003744ef5,f5cefc4a-8ef3-4a9c-964b-dc4c0a550a5b,day,Agent B,agent_d,morning light,0,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""sunbeam entry""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""morning light""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""dry clothes""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""beach sand""}]",1.0,0.4052878745344115,0.07807860840750626,3.0,0.5001147604014502
llm_qwen7b_few_shot_20260710T201518Z,1,b67f2d55-441b-4e12-be03-a1d003744ef5,f5cefc4a-8ef3-4a9c-964b-dc4c0a550a5b,day,Agent B,agent_c,dry clothes,0,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""sunbeam entry""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""morning light""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""dry clothes""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""beach sand""}]",2.0,0.31515466803831615,0.0377498431148372,0.0,0.29062957562299085
llm_qwen7b_few_shot_20260710T201518Z,1,b67f2d55-441b-4e12-be03-a1d003744ef5,f5cefc4a-8ef3-4a9c-964b-dc4c0a550a5b,day,Agent B,agent_a,beach sand,0,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""sunbeam entry""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""morning light""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""dry clothes""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""beach sand""}]",3.0,0.37868105682196346,0.0199331291153829,1.0,0.37868105682196346
llm_qwen7b_few_shot_20260710T201518Z,2,27d68679-52c3-4edc-b443-b1f80b3ad4f4,6693d590-2648-43f2-8221-afe2c949c9c1,life,Agent C,agent_a,endless cycle,0,"[{""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""endless cycle""}, {""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""living world""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""life sign""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""death opposite""}]",0.0,0.4252774098719588,0.007816902613682066,0.0,0.0
llm_qwen7b_few_shot_20260710T201518Z,2,27d68679-52c3-4edc-b443-b1f80b3ad4f4,6693d590-2648-43f2-8221-afe2c949c9c1,life,Agent C,agent_b,living world,0,"[{""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""endless cycle""}, {""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""living world""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""life sign""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""death opposite""}]",1.0,0.47963745133032276,0.057437609503050754,2.0,0.43109565014200174
llm_qwen7b_few_shot_20260710T201518Z,2,27d68679-52c3-4edc-b443-b1f80b3ad4f4,6693d590-2648-43f2-8221-afe2c949c9c1,life,Agent C,agent_c,life sign,1,"[{""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""endless cycle""}, {""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""living world""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""life sign""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""death opposite""}]",2.0,0.5007814908659561,0.05353363679040932,3.0,0.49541044829582515
llm_qwen7b_few_shot_20260710T201518Z,2,27d68679-52c3-4edc-b443-b1f80b3ad4f4,6693d590-2648-43f2-8221-afe2c949c9c1,life,Agent C,agent_d,death opposite,0,"[{""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""endless cycle""}, {""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""living world""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""life sign""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""death opposite""}]",3.0,0.45775198757913627,0.04037633608830254,1.0,0.45775198757913627
